group_name,app_name,platform,country,language,create_datediff,orders
this,ms,android,W,h,8-30day,13357
this,tv,ios,S,n,>90day,13338
this,tv,android,D,n,31-90day,13253
base,tv,ios,S,n,>90day,13221
base,ms,android,N,n,8-30day,13148
this,tv,android,R,s,>90day,13085
this,ms,android,S,s,1-7day,13061
this,ms,android,S,s,31-90day,13050
base,tv,android,N,n,>90day,13025
base,md,android,N,n,>90day,12934
base,ms,android,S,s,1-7day,12928
this,ms,android,E,e,>90day,12732
this,ms,android,N,o,>90day,12727
base,ms,android,T,t,0day,12670
base,tv,android,N,n,>90day,12667
base,md,android,D,n,31-90day,12641
this,ms,ios,R,r,>90day,12569
base,ms,android,N,o,>90day,12565
base,ms,android,D,n,0day,12544
base,ms,android,S,s,0day,12514
this,ms,android,S,s,1-7day,12489
base,si,android,N,n,31-90day,12463
base,tv,android,T,t,>90day,12460
base,ms,android,E,e,>90day,12445
base,ms,android,W,h,1-7day,12427
base,ms,ios,R,r,>90day,12399
base,tv,ios,N,i,>90day,12398
base,ms,android,H,n,>90day,12372
this,tv,android,T,t,>90day,12350
this,ms,android,H,n,>90day,12220
this,ms,android,N,a,>90day,12202
this,tv,ios,N,i,>90day,12177
base,ms,android,N,a,>90day,12133
base,ms,ios,E,r,8-30day,12131
this,ms,android,N,l,1-7day,12093
base,tv,android,W,n,>90day,12022
this,tv,android,N,n,>90day,12001
this,ms,ios,Y,n,>90day,11943
this,tv,android,N,n,>90day,11839
this,ms,android,N,n,1-7day,11816
base,ms,android,S,s,31-90day,11789
base,ms,ios,E,r,31-90day,11534
this,ms,android,K,n,>90day,11473
base,ms,android,N,n,1-7day,11460
this,ms,ios,T,t,>90day,11339
this,ms,android,E,r,31-90day,11286
this,ms,android,K,n,1-7day,11262
base,ms,android,Y,n,8-30day,11215
this,md,android,D,n,31-90day,11138
base,ms,ios,N,n,31-90day,11136
base,si,android,N,i,>90day,11083
base,tv,android,H,n,8-30day,11077
this,ms,android,S,s,8-30day,11072
this,tv,android,W,n,>90day,11068
base,ms,android,N,n,1-7day,11051
this,ms,ios,E,r,31-90day,10996
base,ms,android,N,l,1-7day,10968
base,ms,android,s,n,31-90day,10896
base,ms,ios,Y,n,>90day,10884
this,ms,android,N,a,1-7day,10844
this,ms,android,H,n,0day,10817
base,ms,android,K,n,>90day,10797
this,ms,android,K,r,8-30day,10738
base,ms,ios,T,t,>90day,10725
this,md,android,N,n,>90day,10683
base,tv,android,N,i,8-30day,10680
base,ms,android,N,a,1-7day,10653
this,ms,android,K,i,>90day,10646
this,ms,android,s,n,31-90day,10610
base,ems,android,N,i,1-7day,10547
base,tv,android,N,i,31-90day,10529
this,tv,android,H,n,8-30day,10369
this,tv,android,N,i,8-30day,10315
base,ms,android,K,n,1-7day,10260
base,ms,android,R,s,0day,10215
this,si,android,N,n,31-90day,10191
base,ms,android,K,i,>90day,10161
base,ms,android,K,r,8-30day,10120
base,ms,ios,N,i,31-90day,10073
this,ms,ios,N,n,31-90day,10021
base,tv,android,U,u,31-90day,9942
this,ms,android,K,r,1-7day,9907
this,ms,android,N,n,1-7day,9889
this,ems,android,N,n,>90day,9883
base,tv,android,S,n,31-90day,9847
this,ms,ios,D,n,>90day,9822
this,ms,ios,R,t,>90day,9752
this,tv,android,N,i,31-90day,9740
this,ms,android,U,k,>90day,9698
this,si,android,N,i,>90day,9653
base,tv,android,Y,n,>90day,9628
base,ms,android,R,r,>90day,9596
base,ms,android,K,r,1-7day,9577
base,ms,ios,R,t,>90day,9568
this,ms,ios,N,i,31-90day,9533
this,ms,android,R,r,>90day,9523
base,ms,ios,N,i,1-7day,9520
base,ems,ios,H,h,8-30day,9458
this,ms,android,Y,n,8-30day,9440
this,ms,android,W,h,1-7day,9436
base,ms,android,U,k,>90day,9425
this,tv,android,Y,n,>90day,9382
base,ms,ios,H,h,>90day,9349
this,ms,ios,H,h,>90day,9346
base,tv,android,R,t,31-90day,9291
base,ms,android,S,s,8-30day,9279
base,tv,android,W,n,>90day,9237
base,tv,android,K,n,31-90day,9228
this,tv,android,W,n,>90day,9114
base,ems,android,N,n,>90day,9048
this,tv,android,R,t,31-90day,9029
this,tv,android,U,u,31-90day,8989
base,ms,android,U,n,>90day,8874
this,ms,android,U,n,>90day,8829
base,ms,ios,D,n,>90day,8809
this,ems,android,N,i,8-30day,8765
base,tv,android,D,n,>90day,8681
base,tv,android,N,n,0day,8559
this,ms,android,Y,h,>90day,8554
base,ms,android,Y,h,>90day,8515
base,ms,android,D,i,31-90day,8397
base,ms,android,s,n,8-30day,8385
this,tv,android,D,n,>90day,8337
this,ms,ios,X,s,>90day,8330
base,tv,android,E,n,31-90day,8305
base,ms,android,Y,n,1-7day,8220
base,ms,android,E,e,>90day,8184
base,ms,android,W,h,0day,8183
this,ms,android,W,h,0day,8082
base,ms,ios,X,s,>90day,8015
base,ms,ios,S,s,0day,8013
this,tv,android,K,r,>90day,8013
this,ms,android,H,y,>90day,8004
base,ms,android,H,y,>90day,7981
this,ms,android,E,e,>90day,7975
base,ms,android,K,n,0day,7957
this,ms,android,s,n,8-30day,7933
base,ms,android,K,a,31-90day,7917
this,ems,android,H,h,0day,7840
this,tv,android,S,n,31-90day,7837
this,ms,ios,N,n,8-30day,7764
this,tv,android,E,n,31-90day,7763
this,ms,ios,U,u,8-30day,7718
this,ms,android,U,r,>90day,7710
base,ms,ios,N,i,8-30day,7705
base,tv,ios,H,n,>90day,7692
this,tv,android,N,n,0day,7678
this,ms,android,K,r,>90day,7626
base,ems,android,N,i,0day,7480
this,tv,ios,H,n,>90day,7477
base,ms,android,U,r,>90day,7418
base,tv,android,K,r,>90day,7410
this,ms,ios,H,n,8-30day,7401
this,ms,android,s,r,>90day,7331
this,tv,android,K,n,31-90day,7226
this,ms,android,K,n,0day,7196
base,ms,ios,N,n,8-30day,7186
this,ms,android,N,n,0day,7172
this,tv,android,W,h,>90day,7102
base,ms,android,s,r,>90day,7083
base,ms,android,K,r,>90day,6995
this,tv,android,D,n,8-30day,6982
base,ms,android,s,n,1-7day,6934
base,ms,android,U,z,31-90day,6927
base,tv,android,W,h,>90day,6917
this,ms,android,Y,n,31-90day,6898
base,ms,android,R,n,>90day,6881
this,ms,android,N,r,31-90day,6863
base,ms,ios,H,n,31-90day,6749
this,ms,android,R,n,>90day,6696
this,ms,android,S,h,0day,6685
this,tv,ios,E,n,>90day,6651
base,tv,android,D,n,8-30day,6545
this,ms,ios,R,r,>90day,6543
this,ms,android,N,i,0day,6534
base,ms,ios,R,r,>90day,6526
base,tv,android,s,n,>90day,6521
this,ms,android,R,r,0day,6502
base,ms,android,N,e,0day,6462
this,ms,android,N,r,31-90day,6448
base,ms,android,D,r,31-90day,6438
base,ms,android,N,r,31-90day,6425
base,ms,android,N,r,31-90day,6402
this,ms,android,Y,n,1-7day,6389
base,tv,android,R,t,8-30day,6386
base,ms,android,T,n,>90day,6295
